ID,FP,Approved,On hold,Sourcing start,Interview start,Interview end,Offered,Filled,Status,Role Type,Recruiting Channel,Offer Bonus,City,State
2304,F,2014-06-25,,2014-07-02 00:00:00,2014-07-18 00:00:00,2014-08-06 00:00:00,2014-08-14 00:00:00,2014-08-23 00:00:00,Filled,Technical,Internal,25000.0,San Francisco,CA
14263,F,2014-06-24,,2014-06-30 00:00:00,2014-07-12 00:00:00,2014-08-07 00:00:00,2014-08-12 00:00:00,2014-08-21 00:00:00,Filled,Technical,Referral,15500.0,Chicago,IL
5394,P,2014-07-30,,2014-08-07 00:00:00,2014-08-19 00:00:00,,,,Interview start,Technical,Internal,,Denver,CO
16251,F,2014-07-27,,2014-08-02 00:00:00,2014-08-21 00:00:00,,,,Interview start,Technical,LinkedIn,,Boston,MA
1537,P,2014-08-21,,2014-08-28 00:00:00,,,,,Sourcing start,Non-Technical,,,Dallas,TX
1298,F,2014-06-21,,2014-06-26 00:00:00,2014-07-06 00:00:00,2014-08-04 00:00:00,2014-08-10 00:00:00,2014-08-18 00:00:00,Filled,Non-Technical,LinkedIn,9000.0,Austin,TX
1516,P,2014-06-05,,2014-06-12 00:00:00,2014-06-26 00:00:00,2014-07-24 00:00:00,2014-08-02 00:00:00,2014-08-09 00:00:00,Filled,Technical,Referral,,Dallas,TX
739,F,2014-08-26,,,,,,,Approved,Technical,,,San Francisco,CA
18191,F,2014-07-16,,2014-07-25 00:00:00,2014-08-09 00:00:00,2014-08-30 00:00:00,,,Interview end,Technical,LinkedIn,,Austin,TX
3055,P,2014-08-02,,2014-08-09 00:00:00,2014-08-20 00:00:00,,,,Interview start,Technical,LinkedIn,,New York,NY
3069,F,2014-06-20,,2014-06-27 00:00:00,2014-07-07 00:00:00,2014-08-04 00:00:00,2014-08-13 00:00:00,2014-08-22 00:00:00,Filled,Non-Technical,LinkedIn,12000.0,New York,NY
10800,P,2014-07-03,,2014-07-09 00:00:00,2014-07-23 00:00:00,2014-08-13 00:00:00,2014-08-20 00:00:00,2014-08-26 00:00:00,Filled,Non-Technical,LinkedIn,,San Francisco,CA
14553,F,2014-06-20,,2014-06-27 00:00:00,2014-07-12 00:00:00,2014-08-03 00:00:00,2014-08-10 00:00:00,2014-08-15 00:00:00,Filled,Non-Technical,LinkedIn,8000.0,Austin,TX
9503,P,2014-08-04,,2014-08-12 00:00:00,2014-08-29 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Miami,FL
11987,P,2014-06-17,,2014-06-24 00:00:00,2014-07-08 00:00:00,2014-08-06 00:00:00,2014-08-13 00:00:00,2014-08-19 00:00:00,Filled,Technical,LinkedIn,,Denver,CO
1427,F,2014-08-14,,2014-08-21 00:00:00,,,,,Sourcing start,Non-Technical,,,Miami,FL
3428,F,2014-06-22,,2014-06-27 00:00:00,2014-07-10 00:00:00,2014-08-08 00:00:00,2014-08-16 00:00:00,2014-08-24 00:00:00,Filled,Technical,Referral,22500.0,Atlanta,GA
13894,F,2014-06-15,,2014-06-21 00:00:00,2014-07-06 00:00:00,2014-07-28 00:00:00,2014-08-05 00:00:00,2014-08-11 00:00:00,Filled,Non-Technical,Internal,9500.0,Atlanta,GA
16216,F,2014-06-29,,2014-07-04 00:00:00,2014-07-20 00:00:00,2014-08-06 00:00:00,2014-08-12 00:00:00,2014-08-21 00:00:00,Filled,Non-Technical,Direct,21000.0,Seattle,WA
10123,P,2014-06-19,,2014-06-28 00:00:00,2014-07-09 00:00:00,2014-08-05 00:00:00,2014-08-10 00:00:00,2014-08-16 00:00:00,Filled,Non-Technical,LinkedIn,,Atlanta,GA
11835,F,2014-07-16,,2014-07-22 00:00:00,2014-08-05 00:00:00,2014-08-28 00:00:00,,,Interview end,Technical,LinkedIn,,Chicago,IL
8726,F,2014-06-08,,2014-06-16 00:00:00,2014-06-28 00:00:00,2014-07-27 00:00:00,2014-08-01 00:00:00,2014-08-09 00:00:00,Filled,Non-Technical,LinkedIn,6000.0,Seattle,WA
10960,P,2014-07-12,,2014-07-21 00:00:00,2014-08-02 00:00:00,2014-08-18 00:00:00,2014-08-26 00:00:00,2014-08-31 00:00:00,Filled,Technical,Internal,,New York,NY
2123,P,2014-07-01,,2014-07-07 00:00:00,2014-07-24 00:00:00,2014-08-18 00:00:00,2014-08-23 00:00:00,2014-08-29 00:00:00,Filled,Technical,LinkedIn,,Chicago,IL
6006,P,2014-06-23,,2014-06-28 00:00:00,2014-07-10 00:00:00,2014-07-28 00:00:00,2014-08-06 00:00:00,2014-08-11 00:00:00,Filled,Technical,LinkedIn,,Austin,TX
16281,P,2014-07-05,,2014-07-14 00:00:00,2014-08-02 00:00:00,2014-08-29 00:00:00,,,Interview end,Technical,Internal,,San Francisco,CA
12175,P,2014-06-24,,2014-07-02 00:00:00,2014-07-21 00:00:00,2014-08-06 00:00:00,2014-08-13 00:00:00,2014-08-19 00:00:00,Filled,Non-Technical,LinkedIn,,San Francisco,CA
10827,P,2014-07-27,,2014-08-01 00:00:00,2014-08-14 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Denver,CO
6876,P,2014-07-31,,2014-08-07 00:00:00,2014-08-22 00:00:00,,,,Interview start,Non-Technical,Referral,,New York,NY
10839,F,2014-08-22,,2014-08-27 00:00:00,,,,,Sourcing start,Non-Technical,,,Denver,CO
11718,F,2014-07-24,,2014-07-31 00:00:00,2014-08-16 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Miami,FL
6883,P,2014-08-11,,2014-08-19 00:00:00,,,,,Sourcing start,Technical,,,Boston,MA
2198,F,2014-08-06,,2014-08-15 00:00:00,,,,,Sourcing start,Technical,,,New York,NY
1316,F,2014-07-03,,2014-07-10 00:00:00,2014-07-21 00:00:00,2014-08-19 00:00:00,2014-08-25 00:00:00,,Offered,Non-Technical,Internal,12500.0,Dallas,TX
6947,F,2014-07-24,,2014-07-29 00:00:00,2014-08-11 00:00:00,,,,Interview start,Technical,LinkedIn,,Atlanta,GA
5468,F,2014-08-23,,,,,,,Approved,Non-Technical,,,Seattle,WA
19355,P,2014-08-08,,2014-08-16 00:00:00,2014-08-29 00:00:00,,,,Interview start,Technical,Referral,,Miami,FL
18169,P,2014-08-11,,2014-08-20 00:00:00,,,,,Sourcing start,Technical,,,Atlanta,GA
14450,F,2014-08-28,,,,,,,Approved,Technical,,,Seattle,WA
2921,P,2014-07-18,,2014-07-26 00:00:00,2014-08-06 00:00:00,2014-08-21 00:00:00,2014-08-28 00:00:00,,Offered,Technical,LinkedIn,,San Francisco,CA
3469,P,2014-07-13,,2014-07-22 00:00:00,2014-08-04 00:00:00,,,,Interview start,Technical,LinkedIn,,Chicago,IL
10189,P,2014-08-15,,2014-08-23 00:00:00,,,,,Sourcing start,Non-Technical,,,San Francisco,CA
15519,F,2014-07-02,,2014-07-07 00:00:00,2014-07-20 00:00:00,2014-08-14 00:00:00,2014-08-20 00:00:00,2014-08-29 00:00:00,Filled,Technical,Internal,24000.0,Miami,FL
5153,P,2014-06-19,,2014-06-27 00:00:00,2014-07-07 00:00:00,2014-07-27 00:00:00,2014-08-02 00:00:00,2014-08-07 00:00:00,Filled,Non-Technical,Direct,,San Francisco,CA
9452,P,2014-06-16,,2014-06-24 00:00:00,2014-07-10 00:00:00,2014-08-06 00:00:00,2014-08-11 00:00:00,2014-08-17 00:00:00,Filled,Technical,Direct,,San Francisco,CA
12750,F,2014-06-19,,2014-06-28 00:00:00,2014-07-10 00:00:00,2014-08-07 00:00:00,2014-08-13 00:00:00,2014-08-21 00:00:00,Filled,Technical,Referral,18000.0,San Francisco,CA
9827,P,2014-08-10,,2014-08-18 00:00:00,2014-08-30 00:00:00,,,,Interview start,Technical,Referral,,New York,NY
15442,P,2014-06-20,,2014-06-27 00:00:00,2014-07-16 00:00:00,2014-08-07 00:00:00,2014-08-12 00:00:00,2014-08-17 00:00:00,Filled,Non-Technical,Direct,,Miami,FL
15699,P,2014-07-21,,2014-07-28 00:00:00,2014-08-09 00:00:00,,,,Interview start,Technical,Direct,,Denver,CO
12753,F,2014-08-07,,2014-08-12 00:00:00,2014-08-26 00:00:00,,,,Interview start,Non-Technical,Referral,,San Francisco,CA
18117,P,2014-08-08,,2014-08-17 00:00:00,,,,,Sourcing start,Technical,,,San Francisco,CA
4831,P,2014-08-02,,2014-08-09 00:00:00,2014-08-25 00:00:00,,,,Interview start,Non-Technical,Referral,,Seattle,WA
11091,F,2014-07-27,,2014-08-05 00:00:00,2014-08-21 00:00:00,,,,Interview start,Technical,Referral,,Chicago,IL
16838,P,2014-07-07,,2014-07-16 00:00:00,2014-07-29 00:00:00,2014-08-13 00:00:00,2014-08-20 00:00:00,2014-08-25 00:00:00,Filled,Non-Technical,Direct,,San Francisco,CA
13635,P,2014-06-20,,2014-06-26 00:00:00,2014-07-08 00:00:00,2014-08-04 00:00:00,2014-08-10 00:00:00,2014-08-17 00:00:00,Filled,Non-Technical,Referral,,Denver,CO
19347,F,2014-08-16,,2014-08-25 00:00:00,,,,,Sourcing start,Non-Technical,,,Denver,CO
615,P,2014-06-20,,2014-06-26 00:00:00,2014-07-13 00:00:00,2014-08-07 00:00:00,2014-08-16 00:00:00,2014-08-22 00:00:00,Filled,Technical,LinkedIn,,Chicago,IL
213,F,2014-07-22,,2014-07-28 00:00:00,2014-08-13 00:00:00,2014-08-29 00:00:00,,,Interview end,Technical,LinkedIn,,Chicago,IL
5501,P,2014-08-19,,2014-08-24 00:00:00,,,,,Sourcing start,Technical,,,Miami,FL
19761,F,2014-08-22,,2014-08-31 00:00:00,,,,,Sourcing start,Non-Technical,,,Chicago,IL
1736,F,2014-08-19,,2014-08-25 00:00:00,,,,,Sourcing start,Non-Technical,,,Dallas,TX
14941,P,2014-06-18,,2014-06-24 00:00:00,2014-07-12 00:00:00,2014-08-09 00:00:00,2014-08-17 00:00:00,2014-08-26 00:00:00,Filled,Non-Technical,Referral,,Miami,FL
18927,F,2014-08-22,,2014-08-29 00:00:00,,,,,Sourcing start,Technical,,,Austin,TX
7366,P,2014-02-24,2014-03-25 00:00:00,,,,,,On hold,Technical,,,San Francisco,CA
14655,F,2014-06-24,,2014-06-30 00:00:00,2014-07-19 00:00:00,2014-08-05 00:00:00,2014-08-12 00:00:00,2014-08-20 00:00:00,Filled,Technical,LinkedIn,22500.0,Denver,CO
1886,P,2014-08-07,,2014-08-14 00:00:00,2014-08-27 00:00:00,,,,Interview start,Non-Technical,Internal,,Austin,TX
2726,P,2014-08-22,,2014-08-27 00:00:00,,,,,Sourcing start,Non-Technical,,,San Francisco,CA
17334,P,2014-08-20,,2014-08-26 00:00:00,,,,,Sourcing start,Non-Technical,,,Denver,CO
16232,P,2014-08-19,,2014-08-27 00:00:00,,,,,Sourcing start,Technical,,,Denver,CO
18045,F,2014-08-30,,,,,,,Approved,Non-Technical,,,Seattle,WA
7845,P,2014-08-06,,2014-08-11 00:00:00,2014-08-24 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Miami,FL
10460,F,2014-06-11,,2014-06-17 00:00:00,2014-07-04 00:00:00,2014-07-24 00:00:00,2014-08-02 00:00:00,2014-08-11 00:00:00,Filled,Technical,Internal,30000.0,Boston,MA
5398,P,2014-08-16,,2014-08-21 00:00:00,,,,,Sourcing start,Non-Technical,,,Seattle,WA
7204,F,2014-06-10,,2014-06-17 00:00:00,2014-07-02 00:00:00,2014-07-21 00:00:00,2014-07-30 00:00:00,2014-08-05 00:00:00,Filled,Non-Technical,LinkedIn,6000.0,Austin,TX
5003,P,2014-07-31,,2014-08-05 00:00:00,2014-08-17 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Atlanta,GA
4676,P,2014-07-17,,2014-07-24 00:00:00,2014-08-09 00:00:00,2014-08-27 00:00:00,,,Interview end,Non-Technical,Referral,,Miami,FL
14518,F,2014-07-27,,2014-08-04 00:00:00,2014-08-18 00:00:00,,,,Interview start,Technical,Referral,,Chicago,IL
6395,P,2014-07-07,,2014-07-12 00:00:00,2014-07-28 00:00:00,2014-08-16 00:00:00,2014-08-22 00:00:00,2014-08-31 00:00:00,Filled,Technical,Internal,,Atlanta,GA
13488,F,2014-08-01,,2014-08-07 00:00:00,2014-08-22 00:00:00,,,,Interview start,Non-Technical,Internal,,Austin,TX
457,P,2014-07-22,,2014-07-29 00:00:00,2014-08-12 00:00:00,2014-08-29 00:00:00,,,Interview end,Technical,LinkedIn,,San Francisco,CA
4057,P,2014-08-06,,2014-08-12 00:00:00,2014-08-25 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,New York,NY
